,vocab_size,token_count,unique_tokens,bytes_per_token,tokens_per_count,decode_correct
0,1000,6065,672,2.0628194558944766,0.4847733994085205,True
1,5000,4533,1198,2.759982351643503,0.3623211573815043,True
2,10000,4121,1284,3.0359136132006794,0.32939013667972183,True
3,15000,3796,1309,3.2958377239199157,0.30341299656302456,True
4,20000,3678,1291,3.4015769439912997,0.29398129645911597,True
5,25000,3576,1281,3.498601789709172,0.2858284709455679,True
6,30000,3493,1273,3.5817348983681647,0.2791943090080729,True
7,45000,3307,1252,3.7831871787118234,0.26432739189513227,True
8,50000,3284,1243,3.809683313032887,0.2624890096714891,True
9,50257,3284,1243,3.809683313032887,0.2624890096714891,True
