,vocab_size,token_count,unique_tokens,bytes_per_token,tokens_per_count,decode_correct
0,100,12463,170,1.0038514001444274,0.9961633762289186,True
1,150,12463,170,1.0038514001444274,0.9961633762289186,True
2,200,12463,170,1.0038514001444274,0.9961633762289186,True
3,250,12463,170,1.0038514001444274,0.9961633762289186,True
4,300,10218,211,1.2244079076140144,0.8167212852689633,True
5,350,9358,258,1.3369309681555888,0.7479817760370874,True
6,400,9007,301,1.3890307538581104,0.7199264647110543,True
7,450,8708,344,1.436724850711989,0.6960274958036927,True
8,500,8497,383,1.4724020242438507,0.6791623371433139,True
9,557,8249,424,1.5166686871135895,0.6593397809927264,True
